Name,Year,Category,MaxWind_Kts,MaxWind_mph
UNNAMED1,1867,H3,100,115.078
UNNAMED2,1899,H4,120,138.0936
UNNAMED3,1928,H5,140,161.1092
UNNAMED4,1931,H1,70,80.5546
UNNAMED5,1932,H4,125,143.8475
BETSY,1956,H2,85,97.8163
Frederic,1979,TS,45,51.7851
Claudette,1979,TD,30,34.5234
Gert,1981,TS,50,57.539
Klaus,1984,TS,45,51.7851
Chris,1988,TD,30,34.5234
Hugo,1989,H3,110,126.5858
Marilyn,1995,H2,95,109.3241
Hortense,1996,H1,70,80.5546
Georges,1998,H3,100,115.078
Derby,2000,H1,65,74.8007
Jeanne,2004,TS,60,69.0468
Noel,2007,TD,25,28.7695
Olga,2007,TS,40,46.0312
Fay,2008,TD,30,34.5234
Irene,2011,H1,60,69.0468
Bertha,2014,TS,40,46.0312
Erika,2015,H1,45,51.7851
Irma,2017,H5,150,172.617
Maria,2017,H5,135,155.3553
