,database,scenario,fuelOrTech,2017,2020,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,EC_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A.sqlite,solve,EC_DSL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,EC_NG_CC,0.0,0.2941705,0.2941705,0.2941705,0.2941705,0.2941705,0.29116476,0.29295786
5,A.sqlite,solve,EC_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A.sqlite,solve,EC_OIL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A.sqlite,solve,EC_SOLPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A.sqlite,solve,EC_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A.sqlite,solve,ED_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94888944
10,A.sqlite,solve,ED_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A.sqlite,solve,ED_NG_CC,0.0,9.2788148,17.004551,23.98632,27.061413,29.963497,32.923609,34.793043
12,A.sqlite,solve,ED_NG_OC,0.0,0.0,0.0,1.6494768,1.8277899,1.9960708,1.9960708,1.9960708
13,A.sqlite,solve,ED_SOLPV,0.0,0.0,2.4097068,12.436176,14.479444,17.596579,23.06722,27.006762
14,A.sqlite,solve,ED_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,A.sqlite,solve,EX_COAL,3.372,3.372,0.0,0.0,0.0,0.0,0.0,0.0
16,A.sqlite,solve,EX_DSL_CC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
17,A.sqlite,solve,EX_DSL_SIMP,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
18,A.sqlite,solve,EX_HYDRO,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439
19,A.sqlite,solve,EX_MSW_LF,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
20,A.sqlite,solve,EX_NG_CC,13.134,4.538,4.538,4.538,4.538,0.9076,0.0,0.0
21,A.sqlite,solve,EX_NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
22,A.sqlite,solve,EX_OIL_TYPE1,2.17,2.17,0.0,0.0,0.0,0.0,0.0,0.0
23,A.sqlite,solve,EX_OIL_TYPE2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24,A.sqlite,solve,EX_OIL_TYPE3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
25,A.sqlite,solve,EX_SOLPV,0.538,0.538,0.538,0.538,0.538,0.538,0.0,0.0
26,A.sqlite,solve,EX_WIND,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0
27,B.sqlite,solve,EC_BATT,0.0,8.9699072,8.9699072,8.9699072,8.8200864,15.265222,19.772799,31.337078
28,B.sqlite,solve,EC_BIO,0.0,0.29,0.29,0.29,0.29,0.29,0.29,0.29
29,B.sqlite,solve,EC_SOLPV,0.0,0.0,1.6156834,1.6156834,2.5236806,2.5236806,2.5236806,12.828955
30,B.sqlite,solve,EC_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,B.sqlite,solve,ED_BATT,0.0,6.0202736,21.414756,22.780318,24.427689,27.247015,27.008408,19.340764
32,B.sqlite,solve,ED_BIO,0.0,0.29,0.29,0.29,0.29,0.29,0.29,0.29
33,B.sqlite,solve,ED_SOLPV,0.0,22.786989,36.504726,37.358029,37.358029,37.358029,37.358029,29.317174
34,B.sqlite,solve,ED_WIND,0.0,0.0,10.348348,15.483807,21.382137,33.434732,40.24939,44.374055
35,B.sqlite,solve,EX_COAL,3.372,3.372,0.0,0.0,0.0,0.0,0.0,0.0
36,B.sqlite,solve,EX_DSL_CC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
37,B.sqlite,solve,EX_DSL_SIMP,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
38,B.sqlite,solve,EX_HYDRO,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439
39,B.sqlite,solve,EX_MSW_LF,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
40,B.sqlite,solve,EX_NG_CC,13.134,4.538,4.538,4.538,4.538,0.9076,0.0,0.0
41,B.sqlite,solve,EX_NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
42,B.sqlite,solve,EX_OIL_TYPE1,2.17,2.17,0.0,0.0,0.0,0.0,0.0,0.0
43,B.sqlite,solve,EX_OIL_TYPE2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
44,B.sqlite,solve,EX_OIL_TYPE3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
45,B.sqlite,solve,EX_SOLPV,0.538,0.538,0.538,0.538,0.538,0.538,0.0,0.0
46,B.sqlite,solve,EX_WIND,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0
