,database,scenario,fuelOrTech,2018,2020
0,A.sqlite,solve,BIO,0.0,0.0
1,A.sqlite,solve,COAL_TAXED,3.78,3.78
2,A.sqlite,solve,DSL_TAXED,0.002,0.002
3,A.sqlite,solve,ELC_CENTRAL,3.241,3.241
4,A.sqlite,solve,ELC_DIST,0.0,0.0
5,A.sqlite,solve,HYDRO,0.866,0.866
6,A.sqlite,solve,MSW_LF_TAXED,0.001,0.001
7,A.sqlite,solve,NATGAS_TAXED,13.134,22.2662275
8,A.sqlite,solve,NUCLEAR,3.568,3.568
9,A.sqlite,solve,OIL_TAXED,2.3449999999999998,2.3449999999999998
10,A.sqlite,solve,SOLAR,0.3925,0.3925
11,A.sqlite,solve,WIND,0.001,0.001
12,B.sqlite,solve,BIO,0.0,4.9934583
13,B.sqlite,solve,COAL_TAXED,3.78,3.78
14,B.sqlite,solve,DSL_TAXED,0.002,0.002
15,B.sqlite,solve,ELC_CENTRAL,3.241,3.8198426800000003
16,B.sqlite,solve,ELC_DIST,0.0,0.0
17,B.sqlite,solve,HYDRO,0.866,0.866
18,B.sqlite,solve,MSW_LF_TAXED,0.001,0.001
19,B.sqlite,solve,NATGAS_TAXED,13.134,13.134
20,B.sqlite,solve,NUCLEAR,3.568,3.568
21,B.sqlite,solve,OIL_TAXED,2.3449999999999998,2.3449999999999998
22,B.sqlite,solve,SOLAR,0.3925,2.8413703
23,B.sqlite,solve,WIND,0.001,0.001
