,database,scenario,fuelOrTech,2016,2021,2026,2031,2036,2041,2046
0,A.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,EC_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A.sqlite,solve,EC_DSL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,EC_NG_CC,0.0,9804.799466177172,10118.963310872943,585.5999171351467,585.5999171351466,742.4221370939376,725.587867441581
5,A.sqlite,solve,EC_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A.sqlite,solve,EC_OIL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A.sqlite,solve,EC_SOLPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A.sqlite,solve,EC_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A.sqlite,solve,ED_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,A.sqlite,solve,ED_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A.sqlite,solve,ED_NG_CC,0.0,0.0,885.6289294307254,39926.56072277457,44553.50281286502,49369.996066440435,50383.52032308458
12,A.sqlite,solve,ED_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,A.sqlite,solve,ED_SOLPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,A.sqlite,solve,ED_WIND,0.0,31774.964644864416,52609.91896986571,63086.009433802115,72816.6306307533,82659.54320834989,99307.94016611298
15,A.sqlite,solve,EX_COAL,26505.339982315403,19886.853474242816,2766.21460499075,0.0,0.0,27.014378882722617,27.014378882722614
16,A.sqlite,solve,EX_DSL_CC,12.522988037796168,0.0,0.0,0.0,0.0,0.0,0.0
17,A.sqlite,solve,EX_DSL_SIMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,A.sqlite,solve,EX_HYDRO,22276.7018650436,54068.60069603263,52586.17048651334,51816.56755145324,51093.89033809732,50441.21315979742,46571.70112586845
19,A.sqlite,solve,EX_MSW_LF,11.77493335386439,10.671024519647927,10.180398372033205,7.8661647060151525,7.8661647060151525,9.321802613012995,8.953833001607508
20,A.sqlite,solve,EX_NG_CC,71381.78808488321,13607.865860886295,21743.889764617335,0.0,0.0,0.0,0.0
21,A.sqlite,solve,EX_OIL_TYPE1,1193.9735673440678,0.0,0.0,0.0,0.0,0.0,0.0
22,A.sqlite,solve,EX_OIL_TYPE2,0.15879640846037046,0.0,0.0,0.0,0.0,0.0,0.0
23,A.sqlite,solve,EX_OIL_TYPE3,0.21492272517193817,0.0,0.0,0.0,0.0,0.0,0.0
24,A.sqlite,solve,EX_SOLPV,408.6214921435639,408.62149214356384,408.6214921435639,408.62149214356396,357.4215301581595,63.809576136881,0.0
25,A.sqlite,solve,EX_WIND,277.0278733049556,277.0278733049556,277.0278733049556,277.0278733049556,244.8320880014212,45.564796950340714,0.0
